checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,33189,52355,0,28,330,1.14,9,0,-77,-5,28,88293,1146,4.86,-0.02,8.92,-0.15,0.06,-0.03,1593,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,33379,52739,0,28,330,1.22,9,0,-77,-5,28,88291,1146,4.91,0.03,8.92,0.03,0.00,-0.21,1593,1098,289,-37,26,91,0, 35.702423, 51.350739,0.00,0.41,254

201,33571,52929,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.89,0.03,8.93,-0.03,-0.18,-0.15,1592,1098,289,-37,26,91,0, 35.702423, 51.350739,0.00,0.41,254

201,33762,53121,0,28,330,1.14,9,0,-77,-5,28,88293,1146,4.94,0.01,9.01,-0.09,-0.12,0.03,1592,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,33953,53312,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.93,0.05,8.98,0.09,0.00,-0.03,1592,1098,289,-37,26,93,0, 35.702423, 51.350739,0.00,0.41,254

201,34145,53502,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.98,0.01,8.97,-0.03,-0.18,0.03,1593,1098,289,-37,26,90,0, 35.702423, 51.350739,0.00,0.41,254

201,34432,53695,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.88,-0.01,8.98,-0.03,0.00,0.15,1592,1098,289,-37,26,90,0, 35.702423, 51.350739,0.00,0.41,254

201,34719,53982,0,28,330,1.14,9,0,-76,-5,28,88293,1146,4.85,0.01,8.93,-0.09,-0.06,0.03,1592,1099,289,-37,26,92,0, 35.702408, 51.350758,0.00,0.09,254

201,35007,54269,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.88,0.02,8.97,0.15,0.06,-0.15,1593,1098,289,-37,26,91,0, 35.702408, 51.350758,0.00,0.09,254

201,35294,54555,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.92,0.02,8.97,0.03,-0.06,-0.21,1592,1099,289,-37,26,91,0, 35.702408, 51.350758,0.00,0.09,254

201,35581,54844,0,29,330,1.22,9,0,-77,-5,29,88294,1146,4.86,0.05,8.97,-0.15,-0.12,0.15,1593,1098,289,-37,26,90,0, 35.702408, 51.350758,0.00,0.09,254

201,35868,55131,0,29,330,1.14,9,0,-77,-5,29,88295,1146,4.89,0.03,9.04,0.03,0.00,-0.03,1593,1099,289,-37,26,92,0, 35.702408, 51.350758,0.00,0.09,254

201,36155,55417,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.89,0.00,8.98,-0.03,0.06,-0.09,1592,1099,289,-37,26,96,0, 35.702408, 51.350758,0.00,0.09,254

201,36443,55705,0,28,330,1.29,9,0,-77,-5,28,88294,1146,4.91,0.00,8.97,-0.21,-0.06,0.15,1592,1098,289,-37,26,93,0, 35.702408, 51.350758,0.00,0.09,254

201,36729,55992,0,28,330,1.22,9,0,-77,-5,28,88297,1146,4.93,0.03,9.01,-0.03,0.06,-0.09,1592,1098,289,-37,26,92,0, 35.702400, 51.350765,0.00,0.03,254

201,37016,56279,0,28,330,1.22,9,0,-77,-5,28,88294,1145,4.89,0.02,9.01,-0.27,0.06,0.15,1593,1099,289,-37,26,94,0, 35.702400, 51.350765,0.00,0.03,254

